uname, ID, DISTNAME, osgb_n, osgb_e, # Data From VMD/OS OpenMap Local (ESRI Shape File) NZ/data/NZ_NamedPlace.shp
Whinneyhill_Cottage_Farm_4D7B5 ,  ED447495-2BCB-4CEA-A73E-D7304914D7B5 , Whinneyhill Cottage Farm , 426054.0 , 585006.0
Shadfen_Farm_Cottage_2E1CA ,  A594BDF0-FB7F-4DA7-847F-6B8869F2E1CA , Shadfen Farm Cottage , 422780.0 , 585487.0
Whitefield_Farm_Cottages_74908 ,  02775DCF-2A98-4A02-85B1-EF63D3B74908 , Whitefield Farm Cottages , 423103.0 , 586773.0
Third_House_Farm_8BC17 ,  A0D62202-D9FE-46C3-8C1E-66902E18BC17 , Third House Farm , 427979.0 , 588992.0
Climbing_Tree_Farm_BB423 ,  42140A57-69F2-4652-A8EB-F71C816BB423 , Climbing Tree Farm , 421856.0 , 586382.0
Foulmartlaw_Farm_90DD6 ,  68ECD795-FB92-4B64-9CAC-D33628990DD6 , Foulmartlaw Farm , 409933.0 , 581288.0
West_House_Farm_F42B7 ,  AA830F67-EA4D-4F5F-BCC4-C31FCA5F42B7 , West House Farm , 414946.0 , 580677.0
North_Farm_9DA16 ,  429201F7-C4AE-4DE0-91F3-48122299DA16 , North Farm , 412952.0 , 582258.0
Hartford_Home_Farm_4CC59 ,  0FE4F9F2-A461-4A75-81F9-46410AF4CC59 , Hartford Home Farm , 424547.0 , 580532.0
Netherton_Moor_Farm_56AF3 ,  F634AE61-3335-48AF-9807-379D63756AF3 , Netherton Moor Farm , 423354.0 , 580651.0
Bebside_North_Farm_08C3D ,  72B1AC49-8F20-4F7D-911E-683E2B208C3D , Bebside North Farm , 427134.0 , 581033.0
Blue_House_Farm_C108F ,  AD61F343-6178-47A3-8EA5-3E26DF8C108F , Blue House Farm , 424250.0 , 582443.0
Windmill_Farm_FAEC2 ,  D343F9E9-54A8-40A8-A41F-35FBBC0FAEC2 , Windmill Farm , 425688.0 , 583075.0
Meadow_View_Farm_96CC0 ,  B64F2515-5C83-445E-93B7-A36581896CC0 , Meadow View Farm , 425559.0 , 583420.0
